,sivb,bitcoin,landing,sea surface,mexico,usa,world
0,8.382576677544689e-05,0.0,0.08245463946119884,0.3622047244094488,0.6638343726766226,0.38511131266506954,0.638511273147758
1,8.382576677544689e-05,0.0,0.08235876117457108,0.36322072644145287,0.6637714762017202,0.3851638341873724,0.6385539845965711
2,8.382576677544689e-05,0.0,0.08226288288794331,0.3642367284734569,0.6637085797268176,0.3852163557096752,0.6385966960453843
3,8.382576677544689e-05,0.0,0.08216700460131555,0.365252730505461,0.6636456832519152,0.385268877231978,0.6386394074941973
4,8.382576677544689e-05,0.0,0.0820711263146878,0.36626873253746506,0.6635827867770127,0.38532139875428084,0.6386821189430104
5,8.382576677544689e-05,0.0,0.08197524802806004,0.3672847345694691,0.6635198903021102,0.3853739202765837,0.6387248303918235
6,8.382576677544689e-05,0.0,0.08187936974143227,0.36830073660147317,0.6634569938272077,0.3854264417988865,0.6387675418406367
7,8.382576677544689e-05,0.0,0.08178349145480451,0.36931673863347725,0.6633940973523053,0.38547896332118936,0.6388102532894497
8,8.382576677544689e-05,0.0,0.08168761316817676,0.3703327406654813,0.6633312008774027,0.3855314848434922,0.6388529647382628
9,8.382576677544689e-05,0.0,0.081591734881549,0.37134874269748536,0.6632683044025003,0.385584006365795,0.6388956761870759
10,8.382576677544689e-05,0.0,0.08149585659492123,0.37236474472948944,0.6632054079275977,0.3856365278880978,0.6389383876358891
11,8.382576677544689e-05,0.0,0.08139997830829347,0.37338074676149346,0.6631425114526953,0.38568904941040066,0.6389810990847021
12,8.382576677544689e-05,0.0,0.08130410002166572,0.37439674879349755,0.6630796149777929,0.3857415709327035,0.6390238105335152
13,8.382576677544689e-05,0.0,0.08120822173503796,0.37541275082550163,0.6630167185028903,0.38579409245500634,0.6390665219823283
14,8.382576677544689e-05,0.0,0.08111234344841019,0.37642875285750566,0.6629538220279879,0.3858466139773092,0.6391092334311415
15,8.382576677544689e-05,0.0,0.08101646516178243,0.37744475488950974,0.6628909255530854,0.38589913549961197,0.6391519448799545
16,8.382576677544689e-05,0.0,0.08092058687515467,0.3784607569215138,0.662828029078183,0.3859516570219148,0.6391946563287676
17,8.382576677544689e-05,0.0,0.08082470858852692,0.37947675895351785,0.6627651326032804,0.38600417854421765,0.6392373677775808
18,8.382576677544689e-05,0.0,0.08072883030189915,0.3804927609855219,0.662702236128378,0.3860567000665205,0.6392800792263938
19,8.382576677544689e-05,0.0,0.08063295201527139,0.381508763017526,0.6626393396534754,0.3861092215888233,0.6393227906752069
20,8.382576677544689e-05,0.0,0.08053707372864363,0.38252476504953004,0.662576443178573,0.3861617431111261,0.63936550212402
21,8.382576677544689e-05,0.0,0.08044119544201588,0.3835407670815341,0.6625135467036706,0.38621426463342895,0.6394082135728332
22,8.382576677544689e-05,0.0,0.0803453171553881,0.3845567691135382,0.662450650228768,0.3862667861557318,0.6394509250216462
23,8.382576677544689e-05,0.0,0.08024943886876035,0.3855727711455423,0.6623877537538656,0.38631930767803463,0.6394936364704593
24,8.382576677544689e-05,0.0,0.08015356058213259,0.3865887731775463,0.6623248572789631,0.38637182920033747,0.6395363479192724
25,8.382576677544689e-05,0.0,0.08005768229550483,0.3876047752095504,0.6622619608040606,0.3864243507226403,0.6395790593680856
26,8.382576677544689e-05,0.0,0.07996180400887706,0.38862077724155447,0.6621990643291581,0.3864768722449431,0.6396217708168986
27,8.382576677544689e-05,0.0,0.0798659257222493,0.3896367792735585,0.6621361678542557,0.38652939376724593,0.6396644822657117
28,8.382576677544689e-05,0.0,0.07977004743562155,0.3906527813055626,0.6620732713793531,0.38658191528954877,0.6397071937145248
29,8.382576677544689e-05,0.0,0.07967416914899379,0.39166878333756666,0.6620103749044507,0.3866344368118516,0.639749905163338
30,8.382576677544689e-05,0.0,0.07957829086236602,0.3926847853695707,0.6619474784295482,0.38668695833415445,0.639792616612151
31,8.382576677544689e-05,0.0,0.07948241257573826,0.39370078740157477,0.6618845819546457,0.38673947985645724,0.6398353280609641
32,8.382576677544689e-05,0.0,0.07938653428911051,0.39424382297040456,0.6618216854797433,0.3867920013787601,0.6398780395097773
33,8.382576677544689e-05,0.0,0.07929065600248275,0.3947868585392343,0.6617587890048408,0.3868445229010629,0.6399207509585904
34,8.382576677544689e-05,0.0,0.07919477771585498,0.3953298941080641,0.6616958925299383,0.38689704442336575,0.6399634624074034
35,8.382576677544689e-05,0.0,0.07909889942922722,0.3958729296768938,0.6616329960550358,0.3869495659456686,0.6400061738562165
36,8.382576677544689e-05,0.0,0.07900302114259947,0.3964159652457236,0.6615700995801334,0.38700208746797143,0.6400488853050297
37,8.382576677544689e-05,0.0,0.07890714285597171,0.3969590008145533,0.6615072031052308,0.3870546089902742,0.6400915967538428
38,8.382576677544689e-05,0.0,0.07881126456934394,0.3975020363833831,0.6614443066303284,0.38710713051257706,0.6401343082026558
39,8.382576677544689e-05,0.0,0.07871538628271618,0.39804507195221284,0.6613814101554258,0.3871596520348799,0.6401770196514689
40,8.382576677544689e-05,0.0,0.07861950799608843,0.3985881075210426,0.6613185136805234,0.38721217355718274,0.6402197311002821
41,8.382576677544689e-05,0.0,0.07852362970946067,0.39913114308987235,0.661255617205621,0.3872646950794856,0.6402624425490951
42,8.382576677544689e-05,0.0,0.0784277514228329,0.39967417865870214,0.6611927207307184,0.3873172166017884,0.6403051539979082
43,8.382576677544689e-05,0.0,0.07833187313620514,0.40021721422753187,0.661129824255816,0.3873697381240912,0.6403478654467214
